46
25,22,2.84
25,23,2.84
18,10,2.32
10,26,2.03
8,17,2.32
17,21,2.24
2,9,2.03
9,19,2.32
19,22,2.24
22,25,2.84
9,3,1.93
19,3,3.04
2,3,2.24
2,5,2.24
7,5,1.93
16,27,3.18
21,12,3.75
21,29,3.59
17,29,3.18
8,6,1.93
26,6,2.24
26,4,2.24
10,4,1.93
10,30,3.65
18,15,4.58
14,13,2.0
29,13,2.24
12,1,3.16
30,4,2.24
4,6,2.0
6,29,2.24
27,5,2.24
5,11,1.41
3,11,1.41
6,14,1.41
4,14,1.41
30,14,2.24
29,14,2.24
13,1,2.0
30,13,2.24
30,15,2.24
15,13,3.16
15,1,3.16
28,1,2.24
11,1,2.0
19,28,3.18
