51
10,26,2.03
26,8,2.03
17,21,2.24
24,20,2.84
16,7,2.32
7,2,2.03
9,19,2.32
25,15,3.0
22,15,3.75
15,28,2.24
28,3,2.24
19,3,3.04
22,28,3.59
2,11,3.0
2,3,2.24
2,5,2.24
7,5,1.93
16,27,3.18
20,12,3.75
21,12,3.75
21,29,3.59
17,29,3.18
8,6,1.93
26,6,2.24
10,4,1.93
10,30,3.65
18,15,4.58
14,13,2.0
23,15,3.75
30,4,2.24
4,6,2.0
6,29,2.24
29,12,2.24
12,27,2.24
27,5,2.24
6,14,1.41
4,14,1.41
30,14,2.24
29,14,2.24
13,1,2.0
15,13,3.16
15,1,3.16
28,1,2.24
11,1,2.0
1,27,2.24
8,29,3.65
16,12,4.58
16,5,3.04
19,28,3.18
28,11,2.24
11,27,2.24
