47
25,22,2.84
25,23,2.84
23,18,2.24
8,17,2.32
24,20,2.84
16,7,2.32
2,9,2.03
9,19,2.32
19,22,2.24
25,15,3.0
22,15,3.75
15,28,2.24
28,3,2.24
19,3,3.04
22,28,3.59
2,11,3.0
2,3,2.24
2,5,2.24
7,5,1.93
20,12,3.75
24,12,3.0
21,12,3.75
8,6,1.93
26,6,2.24
26,4,2.24
10,4,1.93
10,30,3.65
12,1,3.16
18,30,3.18
23,15,3.75
30,4,2.24
27,5,2.24
5,11,1.41
3,11,1.41
6,14,1.41
4,14,1.41
30,14,2.24
29,14,2.24
13,1,2.0
13,12,3.16
30,13,2.24
30,15,2.24
15,13,3.16
15,1,3.16
28,1,2.24
16,12,4.58
16,5,3.04
