52
25,22,2.84
25,23,2.84
23,18,2.24
3,12,2.24
10,26,2.03
26,8,2.03
17,21,2.24
21,24,2.84
24,20,2.84
16,7,2.32
7,2,2.03
9,19,2.32
19,22,2.24
25,15,3.0
22,15,3.75
28,3,2.24
9,3,1.93
19,3,3.04
22,28,3.59
2,3,2.24
2,5,2.24
7,5,1.93
20,12,3.75
24,12,3.0
21,12,3.75
21,29,3.59
8,6,1.93
26,6,2.24
26,4,2.24
10,4,1.93
14,13,2.0
12,1,3.16
18,30,3.18
23,15,3.75
30,4,2.24
4,6,2.0
29,12,2.24
27,5,2.24
3,11,1.41
6,14,1.41
30,14,2.24
29,14,2.24
13,1,2.0
13,12,3.16
30,13,2.24
15,1,3.16
28,1,2.24
8,29,3.65
16,5,3.04
19,28,3.18
28,11,2.24
11,27,2.24
