53
25,22,2.84
25,23,2.84
18,10,2.32
10,26,2.03
26,8,2.03
17,21,2.24
21,24,2.84
24,20,2.84
20,16,2.24
16,7,2.32
7,2,2.03
2,9,2.03
9,19,2.32
19,22,2.24
22,25,2.84
22,15,3.75
15,28,2.24
28,3,2.24
9,3,1.93
19,3,3.04
22,28,3.59
2,11,3.0
2,3,2.24
2,5,2.24
7,5,1.93
16,27,3.18
17,29,3.18
8,6,1.93
26,6,2.24
26,4,2.24
10,4,1.93
10,30,3.65
18,15,4.58
14,13,2.0
4,6,2.0
6,29,2.24
29,12,2.24
12,27,2.24
27,5,2.24
5,11,1.41
3,11,1.41
6,14,1.41
4,14,1.41
30,14,2.24
29,14,2.24
13,1,2.0
1,27,2.24
8,29,3.65
16,12,4.58
16,5,3.04
19,28,3.18
28,11,2.24
11,27,2.24
