46
25,22,2.84
25,23,2.84
8,17,2.32
17,21,2.24
21,24,2.84
24,20,2.84
19,22,2.24
22,25,2.84
28,3,2.24
9,3,1.93
19,3,3.04
22,28,3.59
2,11,3.0
7,5,1.93
16,27,3.18
20,12,3.75
24,12,3.0
21,12,3.75
17,29,3.18
8,6,1.93
26,6,2.24
26,4,2.24
18,15,4.58
29,13,2.24
12,1,3.16
18,30,3.18
23,15,3.75
29,12,2.24
12,27,2.24
27,5,2.24
5,11,1.41
3,11,1.41
6,14,1.41
4,14,1.41
30,14,2.24
29,14,2.24
30,13,2.24
30,15,2.24
15,13,3.16
15,1,3.16
28,1,2.24
11,1,2.0
1,27,2.24
8,29,3.65
16,12,4.58
16,5,3.04
